ID,model,engine_power,age_in_days,km,previous_owners,lat,lon,price,
115,sport,51,4018,102000,1,41.35784912,13.42463017,6500,
116,lounge,51,397,16135,1,45.35776901,9.612210274,10650,
117,lounge,51,3865,95350,1,41.90322113,12.49565029,5500,
118,lounge,51,425,19909,1,45.72071838,7.321430206,10950,
119,lounge,51,425,16518,1,44.39997101,8.274499893,11000,
120,pop,62,3135,113000,1,45.43811035,12.31814957,5800,
121,pop,51,1096,50000,1,40.92166901,14.19626999,9500,
122,pop,62,3013,120000,1,45.06967926,7.704919815,4900,
123,lounge,51,3227,105000,1,45.6848793,9.717909813,6500,
124,lounge,51,2831,104000,1,45.96493149,12.6445303,6000,
125,pop,51,2831,56779,4,41.90322113,12.49565029,7500,
126,lounge,51,397,17590,1,41.83264923,12.75259972,9970,
127,pop,51,1127,7772,1,41.06985092,15.05898952,9000,
128,lounge,51,2861,85000,1,45.6095314,10.20856953,7700,
129,lounge,51,3623,75900,1,43.78237152,11.25498962,6300,
130,lounge,51,1127,21400,1,44.33253098,7.545919895,9500,
131,lounge,51,4292,112400,1,45.70610046,11.80737019,5000,
132,lounge,51,366,18590,1,40.39588928,18.12977982,10900,
133,sport,51,3988,175000,1,45.7012291,8.812990189,4800,
134,lounge,51,701,22700,1,45.7768898,9.306159973,10250,
135,pop,51,1096,50000,1,40.92166901,14.19626999,9500,
136,lounge,62,3470,110000,1,40.83581161,14.50440979,4990,
137,pop,51,1400,49000,1,45.60689163,9.306619644,8200,
138,lounge,51,790,34012,1,45.43878937,10.76424026,10550,
139,lounge,51,1155,53589,1,45.23141098,9.592889786,8950,
140,lounge,51,397,14431,1,41.83264923,12.75259972,9970,
141,lounge,51,2953,80000,1,45.58409119,9.270959854,6900,
142,lounge,51,4169,81900,2,45.44327164,10.2302103,4900,
143,lounge,51,3074,124100,2,45.52497864,9.522139549,6700,
144,pop,51,1827,46000,1,45.66292953,11.60243034,7800,
145,lounge,74,4230,176000,1,42.92044067,13.83355045,4990,
146,lounge,51,366,13124,1,45.72071838,7.321430206,10950,
147,lounge,51,4018,152900,1,43.06753159,12.55154991,5500,
148,lounge,51,762,15917,1,40.93085098,14.52859974,9900,
149,sport,51,4383,74000,1,43.52069855,13.23808002,6900,
150,lounge,51,456,13215,1,39.29122162,16.25251389,9490,
151,lounge,51,366,14732,1,45.74074173,12.23266983,9950,
152,lounge,51,2892,67000,1,45.67483902,9.687859535,7900,
153,lounge,51,790,39916,1,40.75220871,14.45341015,10279,
154,lounge,51,397,13600,1,41.90322113,12.49565029,9970,
155,lounge,51,701,21580,1,41.12586975,16.86665916,11090,
156,lounge,51,3500,106000,1,41.27293015,16.41847038,5600,
157,lounge,51,1858,35304,1,45.64609909,10.49915981,8000,
158,lounge,51,4018,174000,1,42.92044067,13.83355045,5400,
159,lounge,51,1886,51786,1,40.78419113,14.36966991,7990,
160,lounge,51,456,56779,1,45.43811035,12.31814957,10800,
161,lounge,51,3409,70000,1,41.90322113,12.49565029,5800,
162,pop,51,3409,56779,1,42.45336914,14.14037991,8700,
163,lounge,51,397,16755,1,39.29122162,16.25251389,9490,
164,pop,51,701,48268,1,45.58409119,9.270959854,9000,
165,pop,51,3531,97000,1,45.67483902,9.687859535,6500,
166,lounge,51,790,39916,1,41.90322113,12.49565029,10280,
167,pop,51,3804,114000,1,45.60697174,9.629229546,4500,
168,lounge,51,397,15341,1,45.35776901,9.612210274,10950,
169,lounge,51,3531,83000,1,40.63317108,17.63460922,5900,
170,pop,51,2496,57200,1,41.90322113,12.49565029,7900,
171,lounge,51,2892,96685,1,40.69556046,14.48085022,5900,
172,lounge,51,366,17272,1,38.12207031,13.36112022,11000,
173,sport,51,4077,124000,1,41.15206146,15.08308983,4250,
174,lounge,51,731,24700,1,41.90322113,12.49565029,9450,
175,pop,51,578,5000,1,40.8401413,14.25226021,8900,
176,lounge,51,456,19133,1,45.39360046,10.48223972,10900,
177,lounge,51,456,11998,1,39.29122162,16.25251389,9590,
178,pop,51,790,39461,1,40.92649078,14.4764204,10800,
179,lounge,51,1066,1232,1,45.46796036,9.181779861,9900,
180,lounge,51,790,39916,1,41.80298996,12.59893036,10280,
181,lounge,51,1308,23500,1,43.81702042,10.68284988,9800,
182,lounge,51,397,14991,1,45.35776901,9.612210274,10950,
183,lounge,51,2496,104000,1,40.46537018,17.25053978,6900,
184,lounge,51,3378,132000,2,45.69522858,9.669509888,4800,
185,lounge,51,548,20000,1,45.46350098,9.913140297,9600,
186,lounge,51,487,18337,1,39.33176041,16.18132973,10500,
187,pop,51,1400,25282,1,45.06967926,7.704919815,8200,
188,lounge,51,4322,117000,1,45.32979965,10.12679958,5399,
189,lounge,51,3197,160403,1,41.35784912,13.42463017,5500,
190,lounge,51,1431,81900,1,44.13837051,12.23882008,10000,
191,lounge,51,821,19000,1,44.98873901,9.010499954,9990,
192,pop,51,670,45000,1,41.90322113,12.49565029,10670,
193,lounge,51,670,38000,1,45.54597855,12.16055965,8900,
194,pop,51,4353,76000,1,45.85166168,9.391869545,5500,
195,lounge,51,3227,142000,1,44.29430008,9.674440384,4900,
196,lounge,51,517,9150,1,44.41175842,12.2040596,10600,
197,pop,51,1552,52026,1,45.06967926,7.704919815,6900,
198,lounge,51,2282,145150,2,45.38684082,11.79088974,6800,
199,lounge,51,397,19783,2,38.12207031,13.36112022,11000,
200,lounge,51,3743,105610,2,37.72787857,12.88747025,4900,
201,lounge,51,1035,18000,1,41.90322113,12.49565029,10990,
202,lounge,51,1461,54000,1,38.12207031,13.36112022,10000,
203,pop,51,852,10400,1,45.7907486,8.746919632,10400,
204,lounge,51,762,22000,1,44.98873901,9.010499954,9790,
205,lounge,51,4505,102502,1,45.06967926,7.704919815,5700,
206,lounge,51,366,10000,1,45.54597855,12.16055965,10990,
207,lounge,51,4292,124000,1,41.90322113,12.49565029,5300,
208,lounge,51,397,14284,1,45.35776901,9.612210274,10850,
209,pop,62,1917,37900,1,45.77878189,11.84053993,7600,
210,pop,51,2588,88000,1,43.88206863,11.10035038,5500,
211,lounge,51,456,13600,1,45.73727036,11.38978958,10400,
212,pop,51,2557,52000,1,40.69672012,14.51916027,6900,
213,lounge,51,1247,27464,1,45.61695862,9.422280312,8200,
214,lounge,51,425,23212,1,45.35438919,11.86925983,10500,
215,sport,51,3592,99180,1,43.62332916,11.46354008,6700,
216,lounge,51,701,25000,1,44.98873901,9.010499954,9790,
217,lounge,51,1247,39600,1,41.90322113,12.49565029,8500,
218,lounge,51,3044,132000,1,37.8167305,12.86872005,7900,
219,pop,51,790,48000,1,45.38145828,9.155489922,8500,
220,lounge,51,4018,118000,2,44.06312943,12.44701004,5100,
221,lounge,51,3927,121000,2,41.90322113,12.49565029,4500,
222,lounge,51,2131,59753,1,44.43400955,10.40653992,6900,
223,lounge,51,1886,56500,1,45.46796036,9.181779861,8500,
224,lounge,51,397,18019,1,38.12207031,13.36112022,11000,
225,lounge,51,3712,108000,1,45.56040955,8.059780121,6600,
226,sport,73,3896,120000,1,44.29430008,9.674440384,5100,
227,lounge,51,3896,120000,1,44.11185837,9.958860397,5900,
228,lounge,51,425,18233,1,45.35438919,11.86925983,10500,
229,lounge,51,456,10062,1,45.81475067,8.830129623,10700,
230,pop,51,701,16000,1,44.98873901,9.010499954,9190,
231,lounge,51,1370,64658,1,45.75424957,9.312749863,9435,
232,lounge,51,670,25000,1,45.07889938,9.302300453,10500,
233,sport,51,2466,113000,1,46.79201889,11.98031998,6600,
234,pop,62,3258,84740,1,45.3355217,11.78584003,6900,
235,pop,51,2374,81600,1,43.9381218,10.91257954,7600,
236,lounge,51,762,8500,1,44.69252014,10.10396004,10800,
237,lounge,51,366,14089,1,42.56283188,12.64220047,10900,
238,lounge,51,2374,90000,1,44.28387833,11.88813972,7900,
239,pop,51,1583,38000,1,41.90322113,12.49565029,8900,
240,lounge,51,821,13500,1,41.90322113,12.49565029,10300,
241,lounge,51,397,13105,1,45.35438919,11.86925983,10500,
242,lounge,51,670,33608,1,43.06753159,12.55154991,10900,
243,pop,51,3288,90000,1,43.9126091,12.90561008,6900,
244,lounge,51,821,32150,1,45.51256943,10.32901001,9950,
245,lounge,51,4018,68000,1,45.07889938,9.302300453,5800,
246,lounge,51,2466,127000,1,44.13837051,12.23882008,6300,
247,lounge,51,762,13236,2,40.69556046,14.48085022,10300,
248,lounge,51,366,20653,2,45.70724869,11.4776001,10500,
249,lounge,51,366,10909,2,38.12207031,13.36112022,11000,
250,lounge,51,425,15000,2,44.55202866,7.725810051,10950,
251,lounge,51,1858,12000,2,40.87839127,14.14029026,10500,
252,lounge,51,790,39162,2,45.46796036,9.181779861,9990,
253,lounge,51,790,27595,2,45.68825912,8.731450081,10200,
254,lounge,51,790,23040,2,41.90322113,12.49565029,8000,
255,lounge,51,397,12780,2,44.90724182,8.611559868,10500,
256,lounge,51,790,30758,2,45.51256943,10.32901001,9950,
257,pop,51,1127,50000,1,41.90322113,12.49565029,8250,
258,pop,51,3439,125684,1,43.87985992,10.78281021,4390,
259,pop,51,366,22148,1,45.6835289,11.95294952,9500,
260,lounge,51,366,71200,1,44.03533173,10.13949013,8900,
261,lounge,51,1127,44000,1,44.70143127,7.972080231,9500,
262,lounge,51,425,18702,1,38.12207031,13.36112022,11000,
263,pop,51,2131,40388,1,45.0127182,7.821589947,8390,
264,lounge,73,4658,143000,1,45.06967926,7.704919815,4500,
265,lounge,51,790,31650,1,45.68825912,8.731450081,10200,
266,lounge,51,670,35000,1,41.90322113,12.49565029,10470,
267,pop,62,1066,34464,1,43.78237152,11.25498962,7500,
268,lounge,51,670,15214,1,37.6079483,12.96685028,10800,
269,lounge,51,4383,135762,1,43.87985992,10.78281021,3390,
270,lounge,51,3319,89179,2,45.6100502,9.242340088,7500,
271,pop,51,2192,53428,2,45.46796036,9.181779861,6990,
272,lounge,51,397,13980,2,45.46580124,8.88640976,9980,
273,lounge,51,366,14816,2,38.12207031,13.36112022,11000,
274,lounge,51,731,33070,2,41.10787964,14.20880985,10900,
275,lounge,51,2374,102600,1,40.96617889,17.11647987,6800,
276,pop,51,1827,45000,1,41.90322113,12.49565029,8200,
277,pop,66,3957,83000,1,41.90322113,12.49565029,5800,
278,lounge,51,701,21000,1,44.71540833,11.30830002,10900,
279,lounge,51,2892,70000,1,43.33272171,11.71932983,6900,
280,pop,51,4322,120000,1,40.67237854,14.72821999,4900,
281,lounge,51,425,15384,1,45.51256943,10.32901001,10850,
282,pop,51,2131,40000,1,45.5320015,9.28153038,7300,
283,pop,51,1217,58497,1,41.90322113,12.49565029,8900,
284,pop,51,4230,156000,3,45.67483902,9.687859535,4250,
285,lounge,51,1917,49000,3,45.35776901,9.612210274,7800,
286,lounge,51,397,14877,3,45.46580124,8.88640976,9980,
287,lounge,51,366,17642,3,38.12207031,13.36112022,11000,
288,pop,51,1066,65415,3,41.10787964,14.20880985,7900,
289,sport,62,3013,67000,1,40.96617889,17.11647987,7500,
290,lounge,51,2101,61400,1,41.90322113,12.49565029,7990,
291,pop,51,1066,74000,1,41.80591965,13.05401993,8900,
292,lounge,51,701,22000,1,44.71540833,11.30830002,10900,
293,lounge,51,3105,119767,1,43.25386047,11.81614971,5800,
294,lounge,51,701,10800,1,41.02598953,14.46444035,9850,
295,lounge,51,397,18631,1,45.51256943,10.32901001,10850,
296,lounge,51,4049,135000,1,41.90322113,12.49565029,5490,
297,lounge,51,425,20900,1,45.53868866,9.928310394,10500,
298,lounge,51,456,15324,1,45.81275177,9.224140167,10500,
299,lounge,51,397,19286,1,45.46580124,8.88640976,9980,
300,lounge,51,670,32156,1,41.10787964,14.20880985,10900,
301,lounge,51,1247,11000,1,45.06967926,7.704919815,9990,
302,lounge,51,1066,66000,1,43.34375,11.92121029,9000,
303,pop,51,3957,148700,1,41.12586975,16.86665916,4900,
304,pop,51,2496,99510,1,44.50883865,11.46907997,6500,
305,pop,51,701,37950,1,41.77008057,12.22710991,7950,
306,lounge,51,456,12600,1,44.90443039,8.199939728,10200,
307,lounge,51,397,21886,1,45.51256943,10.32901001,10850,
308,pop,51,3896,60000,1,45.62141037,12.45398998,4900,
309,lounge,51,2282,50400,1,44.90724182,8.611559868,7900,
310,lounge,51,1035,69900,1,42.14385986,12.54016018,9750,
311,lounge,51,3347,133000,1,41.29956055,13.03258991,5400,
312,lounge,51,397,15465,1,45.46580124,8.88640976,9980,
313,pop,51,790,48461,1,41.10787964,14.20880985,8500,
314,lounge,51,3957,136000,1,41.15206146,15.08308983,4990,
315,lounge,74,4322,170000,1,45.55812073,9.213609695,4600,
316,lounge,51,1096,37000,1,45.5501709,12.07188034,9300,
317,lounge,51,366,15206,1,45.51256943,10.32901001,10850,
318,lounge,51,4018,83000,1,45.83068848,12.03334045,5490,
319,lounge,51,366,15000,1,44.29430008,9.674440384,10500,
320,lounge,51,762,24700,1,42.14385986,12.54016018,9450,
321,lounge,51,821,17600,1,44.76641846,8.705599785,10500,
322,lounge,51,456,16043,1,45.46580124,8.88640976,9980,
323,pop,51,366,5870,1,45.46796036,9.181779861,10999,
324,lounge,51,425,16783,1,41.90322113,12.49565029,9100,
325,lounge,51,4474,108400,1,46.17649841,9.903670311,6200,
326,lounge,51,3470,78000,1,40.92850113,14.20366955,6000,
327,lounge,51,701,42290,1,45.02238846,7.586019993,8400,
328,lounge,51,790,37819,1,45.70724869,11.4776001,9700,
329,lounge,51,397,17034,1,45.51256943,10.32901001,10950,
330,lounge,51,3835,100000,1,45.4054718,10.27828979,5200,
331,lounge,51,366,14000,1,44.29430008,9.674440384,10500,
332,lounge,51,1155,40700,1,42.14385986,12.54016018,8750,
333,pop,51,1521,37500,1,45.5320015,9.28153038,8290,
334,lounge,51,456,26526,1,45.46580124,8.88640976,9980,
335,lounge,51,425,12275,1,41.90322113,12.49565029,9100,
336,lounge,51,701,37083,1,40.46537018,17.25053978,9000,
337,lounge,51,2223,60000,1,45.31705856,8.858699799,7700,
338,pop,51,2343,95000,1,45.33407974,11.37687016,7900,
339,lounge,51,3684,71000,1,40.92850113,14.20366955,6000,
340,lounge,51,1096,55851,1,41.90322113,12.49565029,7100,
341,lounge,51,1247,22686,1,41.90322113,12.49565029,9390,
342,lounge,51,425,20917,1,45.51256943,10.32901001,10850,
343,lounge,51,3988,102932,2,45.6095314,10.20856953,5999,
344,lounge,51,366,15000,2,44.29430008,9.674440384,10500,
345,lounge,51,397,22775,2,45.46580124,8.88640976,9980,
346,lounge,51,397,11997,2,45.46796036,9.181779861,9999,
347,lounge,51,762,29000,2,45.76464844,8.99450016,10500,
348,pop,51,1155,29000,2,43.78237152,11.25498962,10900,
349,lounge,51,821,21877,2,46.17649841,9.903670311,10800,
350,lounge,51,701,19934,2,45.13325882,7.632730007,8999,
351,lounge,51,4108,138000,1,45.5501709,12.07188034,5200,
352,lounge,51,456,11314,1,45.55812073,9.213609695,10900,
353,lounge,51,425,17375,1,45.20227814,10.79292965,10950,
354,pop,51,1066,52125,1,44.41175842,12.2040596,8900,
355,lounge,51,366,18000,1,44.29430008,9.674440384,10500,
356,lounge,51,2557,81247,1,45.28242111,9.931300163,7500,
357,lounge,51,2739,90000,1,44.79853058,10.34022045,6200,
358,sport,51,3743,68833,1,44.92488098,7.330989838,5490,
359,pop,51,3347,85500,1,45.46796036,9.181779861,5699,
360,lounge,51,790,35000,1,45.76464844,8.99450016,10500,
361,lounge,51,2313,80000,1,40.92850113,14.20366955,6990,
362,lounge,51,762,36448,1,40.75220871,14.45341015,8579,
363,sport,51,2009,125000,1,45.19305038,9.15130043,6350,
364,pop,51,2769,72000,1,44.13837051,12.23882008,7800,
365,lounge,51,1521,46980,1,45.74602127,9.049969673,8600,
366,lounge,51,397,16523,1,45.20227814,10.79292965,10850,
367,pop,51,2313,19500,1,44.50482178,11.34517956,7900,
368,lounge,51,366,17000,1,44.29430008,9.674440384,10500,
369,lounge,51,2251,87000,1,45.06967926,7.704919815,5990,
370,lounge,51,578,32057,1,40.9952507,17.21916008,9600,
371,pop,51,366,11203,1,45.05659866,9.701760292,9900,
372,lounge,51,3562,128000,2,45.50944901,9.088700294,4990,
373,pop,51,2131,90000,1,41.90322113,12.49565029,6500,
374,lounge,51,731,33665,1,40.75220871,14.45341015,9979,
375,lounge,51,3804,78000,1,45.59614944,8.915809631,6600,
376,lounge,51,701,13100,1,43.06753159,12.55154991,10500,
377,lounge,51,1096,64944,1,41.90322113,12.49565029,7100,
378,pop,51,2616,122000,1,45.66228104,9.631299973,5900,
379,lounge,51,397,18877,1,45.20227814,10.79292965,10850,
380,lounge,51,1521,55886,1,40.85889816,14.35719013,8500,
381,lounge,51,366,19000,1,44.29430008,9.674440384,10500,
382,pop,51,397,17500,1,42.10467911,14.70598984,9800,
383,lounge,51,790,17200,1,45.64250183,12.16362,9800,
384,lounge,51,578,32057,1,44.50482178,11.34517956,9600,
385,lounge,51,1005,22376,1,41.90322113,12.49565029,10900,
386,pop,77,2251,52000,2,45.50944901,9.088700294,8500,
387,pop,51,1858,75000,2,45.64123917,11.55618,9999,
388,lounge,51,731,33280,2,40.75220871,14.45341015,9980,
389,lounge,51,701,23900,1,45.50442123,12.03608036,9800,
390,pop,51,701,40000,1,45.77859116,8.946249962,8000,
391,lounge,51,1096,57262,1,41.90322113,12.49565029,7100,
392,lounge,51,762,12816,1,45.81275177,9.224140167,10300,
393,lounge,51,397,15003,1,45.20227814,10.79292965,10850,
394,lounge,51,2435,81631,1,45.82556152,12.20979023,7400,
395,lounge,51,366,17000,1,44.29430008,9.674440384,10500,
396,pop,51,366,18818,1,45.02238846,7.586019993,8990,
397,lounge,51,821,10800,1,45.64250183,12.16362,9800,
398,lounge,51,578,32057,1,43.78237152,11.25498962,9600,
399,lounge,51,1035,69900,1,41.90322113,12.49565029,9750,
400,lounge,51,3258,155000,1,43.33272171,11.71932983,6500,
401,lounge,51,762,36448,1,41.80298996,12.59893036,8580,
402,lounge,62,1917,36000,1,45.70059967,9.2084198,9900,
403,pop,51,2162,117183,1,44.05541992,12.57003975,6000,
404,lounge,62,2282,69000,1,46.16872025,12.70748997,7800,
405,lounge,51,456,14000,1,40.8401413,14.25226021,9499,
406,lounge,51,1583,29064,1,45.51256943,10.32901001,9500,
407,lounge,51,762,41783,1,43.78237152,11.25498962,9450,
408,lounge,51,366,16000,1,44.29430008,9.674440384,10500,
409,lounge,51,456,13900,1,44.06312943,12.44701004,10900,
410,lounge,51,670,16000,1,44.55202866,7.725810051,10450,
411,lounge,51,578,32057,1,40.82139969,14.12238026,9600,
412,lounge,51,1521,19446,1,45.59614944,8.915809631,10600,
413,sport,51,3439,147448,1,45.32001114,10.57859039,4990,
414,lounge,51,1096,15000,1,44.99895096,9.103429794,9490,
415,lounge,51,731,33665,1,41.80298996,12.59893036,9980,
416,lounge,51,397,13988,1,45.35438919,11.86925983,10500,
417,lounge,51,456,18400,1,44.06312943,12.44701004,10900,
418,lounge,51,670,18560,1,45.81275177,9.224140167,10300,
419,lounge,51,397,16218,1,45.51256943,10.32901001,10850,
420,lounge,51,790,40298,1,43.78237152,11.25498962,9450,
421,lounge,51,366,15000,1,44.29430008,9.674440384,10500,
422,lounge,51,456,19900,1,44.06312943,12.44701004,10900,
423,lounge,51,1127,13000,1,45.76464844,8.99450016,9500,
424,lounge,51,578,32057,1,38.12207031,13.36112022,9600,
425,lounge,51,1521,21381,1,45.59614944,8.915809631,10600,
426,lounge,51,790,17708,1,41.90322113,12.49565029,8100,
427,lounge,51,701,18000,1,44.99895096,9.103429794,10590,
428,lounge,51,731,33665,1,41.80298996,12.59893036,9980,
429,lounge,51,4383,125000,1,40.83581161,14.50440979,4690,
430,lounge,51,456,17600,1,44.06312943,12.44701004,10900,
431,pop,51,2374,110000,1,44.69559097,10.64124966,6599,
432,lounge,51,2527,95000,1,36.85583878,14.76047039,7500,
433,lounge,51,397,15075,1,45.51256943,10.32901001,10850,
434,lounge,51,790,45381,1,43.78237152,11.25498962,9450,
435,pop,51,762,18600,1,41.29956055,13.03258991,10600,
436,lounge,51,456,10500,1,44.06312943,12.44701004,10900,
437,lounge,51,2527,114000,1,45.51205063,10.42700958,7950,
438,lounge,51,578,32057,1,45.00674057,8.924189568,9600,
439,lounge,51,790,15478,1,45.06967926,7.704919815,9900,
440,lounge,51,1858,81042,1,40.74824142,14.52834988,8990,
441,sport,74,4322,170000,1,45.55812073,9.213609695,4900,
442,lounge,51,762,36448,1,45.5712204,9.159139633,8980,
443,lounge,51,3347,72000,1,45.7832489,12.48812008,6900,
444,lounge,51,456,24500,1,44.06312943,12.44701004,10900,
445,lounge,51,3743,50432,1,45.06967926,7.704919815,6200,
446,pop,51,1886,119000,1,40.85889816,14.35719013,7490,
